t,4 mm,5 mm,7 mm
134,40.25550079,47.85165787,53.8902092
135,40.2608223,47.86940384,53.93791199
136,40.26608276,47.88694382,53.98509979
137,40.27131653,47.90437698,54.03203964
138,40.27648163,47.92159271,54.07841873
139,40.28162003,47.93872833,54.1246109
140,40.28669357,47.9556427,54.17023087
141,40.29174423,47.97247696,54.21566391
142,40.29673767,47.9891243,54.26062775
143,40.30169678,48.0056572,54.30529404
144,40.30661392,48.02203751,54.34958649
145,40.31148148,48.03826523,54.39348221
146,40.31633377,48.05443573,54.43725204
147,40.32111359,48.07036972,54.48040771
148,40.32588196,48.08626938,54.52348709
149,40.33058167,48.10193634,54.565979
150,40.33527374,48.11757278,54.60838699
151,40.33989334,48.1329689,54.65018845
152,40.34451294,48.14836502,54.69198227
153,40.34906387,48.16353989,54.73322296
154,40.35359955,48.17865753,54.7743187
155,40.35808945,48.19362259,54.81502914
156,40.36254501,48.20848083,54.85546112
157,40.36697388,48.22323608,54.89561844
158,40.37135315,48.23784256,54.93541718
159,40.37571716,48.252388,54.97504425
160,40.38002396,48.26673889,55.01419449
161,40.38433075,48.28109741,55.05334473
162,40.38856506,48.29520798,55.09187317
163,40.39279175,48.30929947,55.13033676
164,40.39698792,48.32329178,55.16856384
165,40.40113831,48.33711624,55.20634842
166,40.40528488,48.3509407,55.24413681
167,40.40937042,48.36455917,55.28138733
168,40.41344452,48.37814713,55.31856155
169,40.41748047,48.3915863,55.35536194
170,40.42149353,48.40497208,55.39201355
171,40.42546082,48.41820526,55.42827606
172,40.42942047,48.43139267,55.4644165
173,40.43333435,48.44445038,55.50022507
174,40.43723297,48.45743942,55.53586578
175,40.44109344,48.47031403,55.57119751
176,40.44493866,48.48311996,55.60635757
177,40.44874573,48.49580765,55.64120483
178,40.45252991,48.50842285,55.67587662
179,40.45628738,48.52095413,55.71031189
180,40.46001434,48.53337479,55.74446487
181,40.46373367,48.54577255,55.77856827
182,40.4673996,48.55799103,55.81219482
183,40.47106552,48.5702095,55.8458252
184,40.47468948,48.58229065,55.87909698
185,40.47829437,48.59431458,55.91222763
186,40.48188019,48.60625839,55.94513702
187,40.48543549,48.61811829,55.97784042
188,40.48896408,48.629879,56.01026917
189,40.49247742,48.64157867,56.04253769
190,40.49596405,48.6532135,56.07465363
191,40.49942398,48.66474533,56.10649109
192,40.50286865,48.67622757,56.13819885
193,40.50628662,48.68761826,56.16965485
194,40.5096817,48.69893646,56.20093536
195,40.51306152,48.71019745,56.23205948
196,40.51640701,48.72135162,56.26290894
197,40.51973724,48.73245621,56.29362488
198,40.52304459,48.74347687,56.32411957
199,40.52632904,48.75442886,56.35442734
200,40.52959061,48.76529694,56.38452148
201,40.53285217,48.77616501,56.41461563
202,40.53606415,48.78687286,56.44428635
203,40.53927612,48.7975769,56.47395325
204,40.54245758,48.80818558,56.50335312
205,40.54562378,48.81874084,56.53261948
206,40.5487709,48.82923126,56.56171799
207,40.55189514,48.8396492,56.59062195
208,40.55500793,48.85001373,56.61937714
209,40.55809402,48.8603096,56.64796066
210,40.56116104,48.87052917,56.67634201
211,40.56421661,48.8807106,56.70461273
212,40.56724167,48.89080429,56.73266602
213,40.57025909,48.90086365,56.76062012
214,40.57325363,48.91083527,56.78834152
215,40.57623672,48.92078018,56.81599045
216,40.5791893,48.9306221,56.84336472
217,40.58213425,48.94044113,56.87068939
218,40.5850563,48.95018387,56.89780045
219,40.58796692,48.95988083,56.92479324
220,40.59085846,48.96952057,56.95162582
221,40.59373093,48.97909927,56.978302
222,40.59658813,48.98862457,57.00484467
223,40.59943008,48.99808884,57.03121185
224,40.60225677,49.00750732,57.05746078
225,40.60505676,49.0168457,57.08349228
226,40.60785675,49.02618027,57.10952377
227,40.61062622,49.03541946,57.13528824
228,40.61338806,49.04462433,57.1609726
229,40.61613464,49.0537796,57.18651581
230,40.61886215,49.06286621,57.21187592
231,40.62158203,49.07193756,57.23720551
232,40.62427521,49.08090973,57.26225281
233,40.62696457,49.08987808,57.28730392
234,40.62962723,49.09875488,57.31209946
235,40.63228607,49.10761261,57.33685303
236,40.63492203,49.11640167,57.36141968
237,40.63755035,49.1251564,57.38588715
238,40.64015961,49.13385773,57.41022491
239,40.6427536,49.14250565,57.43441391
240,40.64533997,49.15112305,57.45851898
241,40.64790344,49.15966797,57.48242569
242,40.65046692,49.16820908,57.50632858
243,40.65299606,49.176651,57.529953
244,40.65552521,49.18508148,57.55357361
245,40.65803909,49.19345856,57.57702637
246,40.66053772,49.20178986,57.60036469
247,40.66302872,49.21009064,57.62361145
248,40.66550064,49.21833038,57.646698
249,40.66796112,49.22653961,57.66970062
250,40.67041016,49.23469543,57.6925621
251,40.67284393,49.2428093,57.71532059
252,40.67526627,49.25087738,57.73794937
253,40.67767715,49.25891876,57.76049805
254,40.68006897,49.26689529,57.78288651
255,40.68246078,49.2748642,57.805233
256,40.6848259,49.28274918,57.82736969
257,40.68719482,49.29063416,57.84950256
258,40.68953705,49.29844666,57.87144089
259,40.69187164,49.30624008,57.89331818
260,40.69419861,49.31399536,57.91509628
261,40.69651031,49.32169724,57.93673706
262,40.69881439,49.32937622,57.95832062
263,40.70110321,49.3370018,57.97974396
264,40.7033844,49.34460068,58.00109863
265,40.70564651,49.35214996,58.02233124
266,40.707901,49.35966492,58.04346085
267,40.71014404,49.36714172,58.06448746
268,40.71237946,49.37459564,58.08544159
269,40.71459961,49.38198471,58.10623932
270,40.71681595,49.38938141,58.12703705
271,40.7190094,49.39669418,58.14762497
272,40.72120285,49.40399933,58.16819
273,40.72338104,49.4112587,58.18862915
274,40.72554779,49.41849136,58.20898056
275,40.72770691,49.42568588,58.22924805
276,40.72985458,49.43284225,58.24940872
277,40.73199463,49.43996811,58.26947021
278,40.73411942,49.44706345,58.28946304
279,40.73623657,49.45411301,58.30932999
280,40.7383461,49.46114349,58.32913589
281,40.74044037,49.46812439,58.34882355
282,40.74252319,49.47507477,58.36842346
283,40.7446022,49.48200226,58.3879509
284,40.74666977,49.48888779,58.40736389
285,40.74872589,49.49574661,58.42671585
286,40.75077438,49.50257111,58.44596863
287,40.75281143,49.50936508,58.46512985
288,40.75484085,49.51613235,58.48422623
289,40.75685883,49.52285385,58.50320053
290,40.75887299,49.52956772,58.52215576
291,40.76086807,49.53621674,58.54092789
292,40.76286316,49.54286575,58.55970383
293,40.76484299,49.54946899,58.57835007
294,40.76681519,49.55604553,58.59692383
295,40.76878357,49.56260681,58.615448
296,40.77073669,49.56911469,58.63384247
297,40.772686,49.57561493,58.65220642
298,40.77462006,49.58206177,58.67042542
299,40.77655411,49.58850479,58.68864059
300,40.7784729,49.59490967,58.70674515
