t,4 mm,7 mm
199,40.52632904,56.35442734
200,40.52959061,56.38452148
201,40.53285217,56.41461563
202,40.53606415,56.44428635
203,40.53927612,56.47395325
204,40.54245758,56.50335312
205,40.54562378,56.53261948
206,40.5487709,56.56171799
207,40.55189514,56.59062195
208,40.55500793,56.61937714
209,40.55809402,56.64796066
210,40.56116104,56.67634201
211,40.56421661,56.70461273
212,40.56724167,56.73266602
213,40.57025909,56.76062012
214,40.57325363,56.78834152
215,40.57623672,56.81599045
216,40.5791893,56.84336472
217,40.58213425,56.87068939
218,40.5850563,56.89780045
219,40.58796692,56.92479324
220,40.59085846,56.95162582
221,40.59373093,56.978302
222,40.59658813,57.00484467
223,40.59943008,57.03121185
224,40.60225677,57.05746078
225,40.60505676,57.08349228
226,40.60785675,57.10952377
227,40.61062622,57.13528824
228,40.61338806,57.1609726
229,40.61613464,57.18651581
230,40.61886215,57.21187592
231,40.62158203,57.23720551
232,40.62427521,57.26225281
233,40.62696457,57.28730392
234,40.62962723,57.31209946
235,40.63228607,57.33685303
236,40.63492203,57.36141968
237,40.63755035,57.38588715
238,40.64015961,57.41022491
239,40.6427536,57.43441391
240,40.64533997,57.45851898
241,40.64790344,57.48242569
242,40.65046692,57.50632858
243,40.65299606,57.529953
244,40.65552521,57.55357361
245,40.65803909,57.57702637
246,40.66053772,57.60036469
247,40.66302872,57.62361145
248,40.66550064,57.646698
249,40.66796112,57.66970062
250,40.67041016,57.6925621
251,40.67284393,57.71532059
252,40.67526627,57.73794937
253,40.67767715,57.76049805
254,40.68006897,57.78288651
255,40.68246078,57.805233
256,40.6848259,57.82736969
257,40.68719482,57.84950256
258,40.68953705,57.87144089
259,40.69187164,57.89331818
260,40.69419861,57.91509628
261,40.69651031,57.93673706
262,40.69881439,57.95832062
263,40.70110321,57.97974396
264,40.7033844,58.00109863
265,40.70564651,58.02233124
266,40.707901,58.04346085
267,40.71014404,58.06448746
268,40.71237946,58.08544159
269,40.71459961,58.10623932
270,40.71681595,58.12703705
271,40.7190094,58.14762497
272,40.72120285,58.16819
273,40.72338104,58.18862915
274,40.72554779,58.20898056
275,40.72770691,58.22924805
276,40.72985458,58.24940872
277,40.73199463,58.26947021
278,40.73411942,58.28946304
279,40.73623657,58.30932999
280,40.7383461,58.32913589
281,40.74044037,58.34882355
282,40.74252319,58.36842346
283,40.7446022,58.3879509
284,40.74666977,58.40736389
285,40.74872589,58.42671585
286,40.75077438,58.44596863
287,40.75281143,58.46512985
288,40.75484085,58.48422623
289,40.75685883,58.50320053
290,40.75887299,58.52215576
291,40.76086807,58.54092789
292,40.76286316,58.55970383
293,40.76484299,58.57835007
294,40.76681519,58.59692383
295,40.76878357,58.615448
296,40.77073669,58.63384247
297,40.772686,58.65220642
298,40.77462006,58.67042542
299,40.77655411,58.68864059
300,40.7784729,58.70674515
